사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
643,양식_문라이트브런치카페_1914.jpg,delicatessen,62.22,bakery/shop,10.51,market/outdoor,5.43,delicatessen,62.22
644,양식_문라이트브런치카페_1915.jpg,delicatessen,57.66,bakery/shop,8.18,pizzeria,7.82,delicatessen,57.66
645,양식_문라이트브런치카페_1916.jpg,parking_lot,41.59,industrial_area,24.96,hospital,7.5,parking_lot,41.59
646,양식_브런치 앤 디너 테라비 부산대점_1515.jpg,pizzeria,31.9,bakery/shop,24.62,delicatessen,22.57,pizzeria,31.9
647,양식_브런치 앤 디너 테라비 부산대점_1516.jpg,delicatessen,48.3,bakery/shop,16.85,pizzeria,8.47,delicatessen,48.3
648,양식_서울바다카페_486.jpg,coffee_shop,44.14,bakery/shop,25.91,ice_cream_parlor,18.13,coffee_shop,44.14
649,양식_서울바다카페_487.jpg,restaurant,17.03,bar,13.59,science_museum,11.58,restaurant,17.03
650,양식_서울바다카페_488.jpg,boat_deck,58.63,ocean,14.52,harbor,6.82,boat_deck,58.63
651,양식_이디엘브런치하우스_1893.jpg,lobby,37.87,waiting_room,16.98,living_room,13.22,lobby,37.87
652,양식_이디엘브런치하우스_1894.jpg,bakery/shop,62.09,delicatessen,20.46,restaurant,5.76,bakery/shop,62.09
653,양식_퐁당퐁당브런치_536.jpg,pizzeria,82.01,delicatessen,13.37,bakery/shop,2.25,pizzeria,82.01
654,온천_수목원생활온천_1975.jpg,hotel/outdoor,40.85,library/outdoor,29.42,embassy,6.72,hotel/outdoor,40.85
655,온천_수목원생활온천_1976.jpg,mezzanine,18.2,staircase,13.77,sushi_bar,7.31,mezzanine,18.2
656,워터테마파크_누리워터파크_1295.jpg,water_park,80.33,playground,5.17,park,3.41,water_park,80.33
657,워터테마파크_누리워터파크_1296.jpg,ball_pit,58.23,water_park,15.56,playground,4.88,ball_pit,58.23
658,워터테마파크_씨랄라워터파크_288.jpg,ball_pit,98.01,pet_shop,0.78,kennel/outdoor,0.36,ball_pit,98.01
659,워터테마파크_아쿠아필드 고양_836.jpg,underwater/ocean_deep,33.26,lagoon,27.91,ocean,14.18,underwater/ocean_deep,33.26
660,워터테마파크_아쿠아필드 하남_833.jpg,lecture_room,48.74,conference_center,23.31,home_theater,8.14,lecture_room,48.74
661,워터테마파크_아쿠아필드 하남_834.jpg,sushi_bar,29.79,escalator/indoor,21.12,auditorium,9.03,sushi_bar,29.79
662,워터테마파크_아쿠아필드 하남_835.jpg,shopfront,9.48,conference_center,9.35,ticket_booth,7.78,shopfront,9.48
663,워터테마파크_웅진플레이도시_824.jpg,skyscraper,20.99,downtown,17.09,industrial_area,13.22,skyscraper,20.99
664,워터테마파크_웅진플레이도시_825.jpg,ball_pit,50.08,kindergarden_classroom,12.38,childs_room,11.71,ball_pit,50.08
665,워터테마파크_웅진플레이도시_826.jpg,bakery/shop,36.36,delicatessen,32.52,restaurant,12.23,bakery/shop,36.36
666,워터테마파크_인스파이어 스플래시 베이_1293.jpg,shopping_mall/indoor,41.29,atrium/public,21.19,arcade,10.68,shopping_mall/indoor,41.29
667,워터테마파크_인스파이어 스플래시 베이_1294.jpg,topiary_garden,91.97,florist_shop/indoor,5.1,zen_garden,0.53,topiary_garden,91.97
668,워터테마파크_캐리비안베이_818.jpg,water_park,89.11,beach_house,1.99,amusement_park,1.87,water_park,89.11
669,워터테마파크_캐리비안베이_819.jpg,racecourse,9.27,arch,7.35,rock_arch,6.95,racecourse,9.27
670,워터테마파크_캐리비안베이_820.jpg,amusement_park,23.1,water_park,5.92,bazaar/outdoor,4.62,amusement_park,23.1
671,워터테마파크_클럽디오아시스_1731.jpg,windmill,96.75,amusement_park,1.86,wind_farm,0.51,windmill,96.75
672,워터테마파크_클럽디오아시스_1732.jpg,swimming_pool/indoor,46.29,jacuzzi/indoor,20.08,shopping_mall/indoor,7.39,swimming_pool/indoor,46.29
673,워터테마파크_클럽디오아시스_1733.jpg,swimming_pool/indoor,43.34,jacuzzi/indoor,18.89,hot_spring,6.4,swimming_pool/indoor,43.34
674,워터테마파크_파라다이스시티 씨메르_1273.jpg,locker_room,43.8,martial_arts_gym,9.97,gymnasium/indoor,3.83,locker_room,43.8
675,유적지_갑곶돈대_1239.jpg,picnic_area,68.73,lawn,3.05,pavilion,2.11,picnic_area,68.73
676,유적지_강화광성보_1223.jpg,booth/indoor,69.76,conference_center,4.85,ticket_booth,3.48,booth/indoor,69.76
677,유적지_강화광성보_1224.jpg,medina,38.74,arch,20.1,arcade,7.9,medina,38.74
678,유적지_덕진진_1250.jpg,booth/indoor,48.42,chalet,6.21,pet_shop,2.11,booth/indoor,48.42
679,유적지_덕진진_1251.jpg,ice_shelf,33.51,booth/indoor,13.61,childs_room,9.14,ice_shelf,33.51
680,유적지_덕진진_1252.jpg,temple/asia,66.02,pagoda,20.55,palace,7.09,temple/asia,66.02
681,유적지_방화수류정_767.jpg,japanese_garden,28.11,botanical_garden,24.86,pond,24.79,japanese_garden,28.11
682,유적지_방화수류정_768.jpg,japanese_garden,40.71,pond,24.16,botanical_garden,13.84,japanese_garden,40.71
683,유적지_방화수류정_769.jpg,field/cultivated,71.41,vineyard,8.85,botanical_garden,6.63,field/cultivated,71.41
684,유적지_제물포구락부_1253.jpg,bar,44.89,sushi_bar,34.42,wet_bar,12.09,bar,44.89
